Affiliation Name,Affiliation Domain,Affiliation Country
University of Washington,uw.edu,US
Unknown,unknown.edu,UNK
Western Washington University,wwu.edu,UNK
"University of Washington, Seattle",uw.edu,US
Unknown,unknown.edu,UNK
Carnegie Mellon University,cmu.edu,US
KTH Royal Institute of Technology,kth.se,SE
Nanjing University,nju.edu.cn,CN
"KTH Royal Institute of Technology, Stockholm, Sweden",kth.se,SE
Purdue University,ecn.purdue.edu,US
Google,google.com,US
Unknown,unknown.edu,UNK
Technische Universität Dortmund,tu-dortmund.de,DE
Université François Rabelais de Tours,univ-tours.fr,FR
Université de Rouen - Haute Normandie,univ-rouen.fr,FR
Université de Rouen,univ-rouen.fr,FR
Unknown,unknown.edu,UNK
"University of California, Riverside",ucr.edu,US
Institute of Computing Technology，Chinese Academy,ict.ac.cn,CN
Unknown,unknown.edu,UNK
"Institute of Computing Technology, Chinese Academy of Sciences",ict.ac.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Zurich,uzh.ch,CH
Alibaba Group,alibaba-inc.com,CN
Zhejiang University,zju.edu.cn,CN
National University of Singapore,nus.edu,SG
University of Cambridge,cam.ac.uk,UK
"Tsinghua University, Tsinghua University",mail.tsinghua.edu.cn,CN
"Tsinghua University, Tsinghua University",tsinghua.edu.cn,CN
"Ecole Polytechnique, France",polytechnique.fr,FR
Friedrich-Alexander Universität Erlangen-Nürnberg,fau.de,DE
New York University,nyu.edu,US
New York University,nyu.edu,US
"University of Edinburgh, University of Edinburgh",ed.ac.uk,UK
University of Edinburgh,ed.ac.uk,UK
Unknown,unknown.edu,UNK
University of Minnesota - Twin Cities,umn.edu,US
"University of Minnesota, Minneapolis",umn.edu,US
University of Minnesota - Twin Cities,umn.edu,US
"University of Washington, Seattle",uw.edu,US
EleutherAI,eleuther.ai,AI
The Hong Kong University of Science and Technology,ust.hk,HK
Hong Kong University of Science and Technology (GuangZhou),hkust-gz.edu,UNK
The Hong Kong University of Science and Technology,hkust.edu.hk,HK
"Northwestern Polytechnical University, Northwest Polytechnical University Xi'an",mai.nwpu.edu.cn,CN
Facebook,meta.com,US
Meta AI,ai.meta.com,US
Dartmouth College,dartmouth.edu,US
University of Kansas,ku.edu,US
Tsinghua University ,thu.edu,UNK
University of Wisconsin - Madison,wisc.edu,US
Meta,meta.com,US
University of Toronto,utoronto.ca,CA
Google,google.com,US
Microsoft,microsoft.com,US
University of Oxford,ox.ac.uk,UK
University of Oxford,eng.ox.ac.uk,UK
University of Oxford,oxford.ac.uk,UK
"University of Oxford, University of Oxford",eng.ox.ac.uk,UK
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",ia.ac.cn,CN
Bar-Ilan University,biu.ac.il,IL
Eberhard-Karls-Universität Tübingen,uni-tuebingen.de,DE
NingboTech University,nbt.edu.cn,CN
Unknown,unknown.edu,UNK
antgroup,antgroup.com,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
ShanghaiTech University,shanghaitech.edu.cn,CN
Shanghai Institute of Materia Medica,simm.ac.cn,CN
Google,google.com,US
Google DeepMind,google.com,US
International Business Machines,ibm.com,US
ETHZ - ETH Zurich,ethz.ch,CH
Swiss Federal Institute of Technology,ethz.ch,CH
Apple,apple.com,US
Apple,apple.com,US
Apple,apple.com,US
International Business Machines,ibm.com,US
"IBM, International Business Machines",us.ibm.com,US
"IBM, International Business Machines",us.ibm.com,US
International Business Machines,ibm.com,US
Facebook,fb.com,US
University of Wisconsin - Madison,wisc.edu,US
University of Wisconsin - Madison,wisc.edu,US
ETHZ - ETH Zurich,ethz.ch,CH
Stevens Institute of Technology,stevens.edu,US
Unknown,unknown.edu,UNK
Johns Hopkins University,cs.jhu.edu,US
Massachusetts Institute of Technology,mit.edu,US
USC/ISI,isi.edu,UNK
Microsoft,microsoft.com,US
Massachusetts Institute of Technology,mit.edu,US
Massachusetts Institute of Technology,mit.edu,US
"McGill University, Mila",mila.quebec,CA
University of Cambridge,cam.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
University of North Carolina at Charlotte,uncc.edu,US
Ecole Nationale de la Statistique et de l'Administration Economique,ensae.fr,FR
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
NVIDIA,nvidia.com,US
NVIDIA,nvidia.com,US
Toloka AI,toloka.ai,AI
Massachusetts Institute of Technology,mit.edu,US
Carnegie Mellon University,cmu.edu,US
University of Tromsø,uit.no,NO
Microsoft,microsoft.com,US
"International Institute of Information Technology Hyderabad, India",iiit.ac.in,IN
Northeastern University,northeastern.edu,US
Swiss Federal Institute of Technology,ethz.ch,CH
University of Pittsburgh,pitt.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Google,google.com,US
Google,google.com,US
Google,google.com,US
Google,google.com,US
"University of California, San Diego",ucsd.edu,US
Google,google.com,US
Google,google.com,US
"Mila, UdeM",mila.qubec,UNK
Zhejiang University,zju.edu.cn,CN
Shenzhen University,szu.edu.cn,CN
Unknown,unknown.edu,UNK
Alan Turing Institute,turing.ac.uk,UK
UCL,uclouvain.be,BE
NVIDIA,nvidia.com,US
"Department of Computer Science, University of Massachusetts at Amherst",cs.umass.edu,US
Facebook,facebook.com,US
"Indian Institute of Technology, Kanpur",iitk.ac.in,IN
Department of Computer Science,cs.toronto.edu,CA
CNRS@CREATE LTD.,cnrsatcreate.cnrs.fr,FR
The University of Sydney,sydney.edu.au,AU
University of Sydney,usyd.edu.au,AU
"Institute of High Performance Computing, Singapore, A*STAR",ihpc.a-star.edu.sg,SG
"Institute of High Performance Computing, Singapore, A*STAR",ihpc.a-star.edu.sg,SG
"University of Massachusetts, Lowell",uml.edu,UNK
Allen Institute for Artificial Intelligence,allenai.org,US
Allen Institute for Artificial Intelligence,allenai.org,US
Alibaba Group,alibaba-inc.com,CN
Stanford University,stanford.edu,US
Hugging Face,huggingface.co,CO
Unknown,unknown.edu,UNK
Tufts University,tufts.edu,US
Unknown,unknown.edu,UNK
University of North Carolina at Chapel Hill,unc.edu,US
Northwestern University,northwestern.edu,US
Northwestern University,u.northwestern.edu,US
Mohamed bin Zayed University of Artificial Intelligence,mbzuai.ac.ae,AE
Hong Kong University of Science and Technology,hkust.edu,HK
University of California Berkeley,berkeley.edu,US
Huazhong University of Science and Technology,hust.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of California Berkeley,berkeley.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
North Carolina State University,ncsu.edu,US
Unknown,unknown.edu,UNK
IBM Thomas J. Watson Research Center,ibm.com,US
AMD,amd.com,US
SUN YAT-SEN UNIVERSITY,sysu.edu.cn,CN
SUN YAT-SEN UNIVERSITY,sysu.edu.cn,CN
Xi'an Jiaotong University,xjtu.edu.cn,CN
Imperial College London,imperial.ac.uk,UK
University of Virginia,virginia.edu,US
Microsoft,microsoft.com,US
University of California Berkeley,berkeley.edu,US
Unknown,unknown.edu,UNK
University of California Berkeley,berkeley.edu,US
George Washington University,gwu.edu,US
Tilburg University,tilburguniversity.edu,UNK
Tilburg University,tilburguniversity.edu,UNK
University of Edinburgh,ed.ac.uk,UK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Max-Planck Institute,mpg.de,DE
Max Planck Institute for Biological Cybernetics,tuebingen.mpg.de,DE
Meta,meta.com,US
Waymo,waymo.com,US
Stanford University,stanford.edu,US
Machine Learning Alignment & Theory Scholars,serimats.org,US
Unknown,unknown.edu,UNK
"Tsinghua University, Tsinghua University",tsinghua.edu.cn,CN
"Department of Electronic Engineering, Tsinghua University",tsinghua.edu.cn,CN
"Tsinghua University, Tsinghua University",tsinghua.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
